Model,Trial,Seed,Global_Best_Fitness,PS,RS,NPV,F1S,F2S,SS,CKS,GMS,AUC,LS,AS
FOX,3,15,0.7503335385878489,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
FOX,4,20,0.708526999316473,0.5871212121212122,0.5623306233062331,0.5871212121212122,0.5686274509803921,0.5637591575091575,0.5623306233062331,0.492456602851477,1.2557091478525535,0.3814363143631436,1.438675371602201,0.78
FOX,5,21,0.7066522781624123,0.5614617940199336,0.5501355013550135,0.5614617940199336,0.5535714285714286,0.551061678463094,0.5501355013550135,0.4698421942586839,1.2454222107329915,0.37262872628726285,1.304144270678587,0.76
FOX,6,22,0.7440187553078237,0.6160714285714286,0.6056910569105691,0.6160714285714286,0.6102055279943303,0.6073477493380406,0.6056910569105691,0.5332676189951848,1.1195731297120617,0.44918699186991873,1.56431475029036,0.78
FOX,7,23,0.7264727372552717,0.6904761904761905,0.6734417344173442,0.6904761904761905,0.6810772501771793,0.6763018534863195,0.6734417344173442,0.6181280519051512,1.0633649770152465,0.5372628726287263,1.9260549748354627,0.82
FOX,8,24,0.7306195724456902,0.6445182724252492,0.6178861788617886,0.6445182724252492,0.6279761904761905,0.6212785080328053,0.6178861788617886,0.5582018285489032,1.1265751686572119,0.45934959349593496,1.7151500418658672,0.8
FOX,9,27,0.7252890972875017,0.6222222222222222,0.5745257452574526,0.6222222222222222,0.584717607973422,0.5764966740576496,0.5745257452574526,0.5164876167970026,1.265948042890033,0.3902439024390244,1.6260162601626016,0.8
FOX,10,28,0.7350036324423643,0.6177156177156178,0.6368563685636857,0.6177156177156178,0.625,0.6314851692694686,0.6368563685636857,0.542088687612126,1.0490235186775947,0.5027100271002709,1.5416832490003223,0.76
FOX,11,30,0.734097985433192,0.6160714285714286,0.6056910569105691,0.6160714285714286,0.6102055279943303,0.6073477493380406,0.6056910569105691,0.5332676189951848,1.1195731297120617,0.44918699186991873,1.56431475029036,0.78
FOX,12,32,0.7400592331836611,0.6222222222222222,0.5745257452574526,0.6222222222222222,0.584717607973422,0.5764966740576496,0.5745257452574526,0.5164876167970026,1.265948042890033,0.3902439024390244,1.6260162601626016,0.8
